,B2,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
885,20180904-053728_415,cre,other,other,other,task,log,pro,emo,pro,other,0,1,A33B85TN97HQ33,0,0.5,1,1,A1DNJ3C38BJ0MJ,0.5,1,48,Female,White/Caucasian,3,Married,Employed for wages,6,Protestant (Baptist Methodist Non-denominational etc.),2,4,5,5,5,5,5,5,5,5,5,4,4,4,5,1,1,1,1,3,1,1,2,2,1,1,5,5,5,61,Female,White/Caucasian,3,Married,Employed for wages,11,Roman Catholic,2,4,5,5,5,5,4,5,5,5,4,4,5,5,4,1,1,1,1,4,1,1,3,4,5,1,4,3,5,4,3,1.666666667,2.333333333,4.333333333,3.333333333,3,4.333333333,1,1,4,4,3.333333333,1,1,4,1,4.333333333,1,1,5,5,2.666666667,4.666666667,1,5.666666667,6,2.666666667,4,6,6,4.666666667,6,5.666666667,6,4.666666667,6,6,4,6,3.333333333,6,6,3.666666667,4,3,6,2.333333333,4.666666667,5,5.666666667,6,6,4.333333333,2.666666667,1,1,6,2.333333333,3,5,5,5,5,4.333333333,4,4.217391304,4.130434783,3.434782609,1.956521739,2.217391304,4.782608696,4.260869565,3.739130435,1.347826087,1.217391304,4.956521739,4.608695652,2.565217391,1.47826087,1.086956522,4.913043478,1.347826087,1.52173913,1.347826087,1.217391304,5,4.608695652,1.391304348,3.826086957,1.173913043,4,3.956521739,5.260869565,5.434782609,5.782608696,4.652173913,5.304347826,4.739130435,4.869565217,5.956521739,4.52173913,4.608695652,5.173913043,5.739130435,5.347826087,5.260869565,5.043478261,5.347826087,4.913043478,5.47826087,5.608695652,5.565217391,4.304347826,5.47826087,5.043478261,5.52173913,5.304347826,4.826086957,4.869565217,4.913043478,5.739130435,5.130434783,4.782608696,2.608695652,2,3.652173913,4.608695652,4.347826087,3.52173913,3.391304348,4.391304348,8.666666667,10.2173913,2,7.608695652,3.333333333,0.52173913,16.33333333,13.65217391,9.333333333,9.565217391,20,20,20,19,17,18,7,8,1,1,1,2,1,4,1,0,1,0,0,0,8,0,0,0,1,1,12,12
18,20180723-064816_188,emo,cre,other,cre,cre,other,other,task,other,other,0,1,A26FIQ42LD6QIO,0,0.25,1,1,A5NE8TWS8ZV7B,0,0,36,Male,Asian/Asian American,3,Married,Self-employed,3,Hindu,5,3,5,5,4,5,4,4,4,5,5,4,5,4,4,2,3,4,1,5,1,1,5,5,5,1,4,4,5,37,Female,Asian/Asian American,3,Never been married,Employed for wages,2,Atheist,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,5,5,5,4.8,4.9,1.9,4,1.45,5,4.1,3.6,1.55,3.9,4.95,4.15,4.75,3.85,3.75,3.95,2.85,2.15,4.1,2.1,3.55,4.5,3.45,4.2,4.35,4.35,4.9,4.4,4.3,4.65,4.35,4.35,4.6,4.55,4.7,4.45,4.35,4.8,4.4,4.6,4.4,4.4,4.6,4.4,4.8,4.3,4.8,4.5,3.2,2.6,3,2.4,2.95,2.6,2.75,2.6,2.65,2.6,2.45,2.1,2.6,2.25,3.4,4.15,3.45,3.9,1,1,1,4.666666667,3.333333333,1,1,1,4.666666667,3.666666667,1,1,1,2,3.333333333,1,4.666666667,4.666666667,2,4.666666667,1,1,1,1,4.666666667,6,6,1,1,1,6,1,6,6,1,6,6,4.333333333,1,6,6,1,1,1,1,1,1,6,2.666666667,4.333333333,2.666666667,2.666666667,4.333333333,4.333333333,2.666666667,2.666666667,2.666666667,2.666666667,5,1,5,5,1,1,3,1.666666667,7.25,-5.333333333,6.15,-5,7.25,15,11.35,-0.666666667,6.25,-2.333333333,19,12,17,12,17,12,15,15,1,3,1,0,1,5,0,6,0,1,0,0,2,0,0,1,4,1,10,1
51,20180807-052301_924,emo,emo,cre,emo,cre,cre,log,log,task,other,0,1,A1RH3X41J9J05R,0,0,0,1,APDDA1Y59RHV9,2,1,52,Male,White/Caucasian,4,Married,Employed for wages,11,Agnostic,5,4,4,4,4,4,3,4,4,5,5,4,4,3,4,2,1,1,1,4,1,1,3,4,4,1,2,2,3,55,Female,White/Caucasian,3,Married,Employed for wages,6,Protestant (Baptist Methodist Non-denominational etc.),2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,5,5,1,5,5,5,5,4.5,3.5,2,2,4.5,5,4.5,1.5,1,5,3.5,4,1,1,4,2,2,1,1,3.5,4,4.5,4,1,5.5,5,1.5,1,1,5,1.5,6,6,1,3.5,6,6,2.5,6,6,2,1.5,5.5,2.5,2,1,5,3,2.5,6,6,4.5,3.5,3,3.5,4,4.5,1.5,4,5,5,3.5,4,3.5,3,5,5,2,1.333333333,4.333333333,5,5,5,1,1,5,5,5,1,1,5,1,4,1,1,4.333333333,4.333333333,3,5,1,6,6,6,6,6,6,6,6,6,4.666666667,5.666666667,6,6,6,6,5,4.666666667,6,6,6,6,4.333333333,5.333333333,4.333333333,4.666666667,4.333333333,4.333333333,4.333333333,4.333333333,2.333333333,3.666666667,3.666666667,4,1,5,5,5,4.333333333,4.333333333,2.666666667,2.333333333,11.5,13,9,6.333333333,2,2,15,15.66666667,10.5,13,16,20,16,20,15,20,9,9,3,3,2,0,1,1,0,1,1,0,0,0,8,0,0,0,2,1,2,1
74,20180807-224801_326,emo,other,log,log,emo,emo,cre,other,log,other,0,1,A1848YLP5S6RN6,0,0.3,1,1,A1S88VQY8G8CNC,2,1,25,Male,White/Caucasian,4,Never been married,Employed for wages,5,Roman Catholic,2,5,4,4,5,4,5,5,5,5,5,4,4,4,5,2,2,2,1,4,1,1,3,4,4,1,4,4,5,62,Male,White/Caucasian,4,Married,Employed for wages,7,Protestant (Baptist Methodist Non-denominational etc.),2,4,4,4,4,3,4,5,4,4,5,4,4,5,5,2,3,3,2,4,1,2,2,2,2,1,4,4,4,4,4,2,1,4,4,5,4,2,1,5,5,5,1,2,3,4,4,4,4,5,5,3,4,1,4,5,2,3,5,5,5,6,6,5,3,5,6,4,6,6,6,5,6,4,4,5,4,5,5,5,6,6,4,4,5,5,5,2,2,4,3,5,5,1,1,2,2,2.666666667,4,4.333333333,3.333333333,4,4,2,2,3.333333333,3,3.666666667,4.333333333,2,2,4,4.666666667,5,4,5,2.333333333,3.333333333,5,4,6,5,1.666666667,6,6,6,3.666666667,6,6,5.666666667,5,5.666666667,6,6,6,6,5,4,1.666666667,5,6,5,4.333333333,4,3.333333333,5.666666667,3.333333333,4.666666667,2.333333333,4,2.666666667,3.333333333,6,2.666666667,2,5,4,4.333333333,4.333333333,1.333333333,1.333333333,10,7.333333333,5,-1.666666667,13,15.66666667,16,11.66666667,12,3.666666667,17,15,20,17,17,18,11,14,3,1,3,0,0,3,0,0,1,0,0,0,9,0,0,0,1,1,1,1
144,20180824-122513_936,emo,cre,emo,log,other,emo,log,log,emo,emo,0,1,A1X6Z93V4G0Q8H,0,0.01,1,1,A36HFMF9Z4BGS8,0.2,1,28,Male,White/Caucasian,3,Never been married,Employed for wages,3,Atheist,4,2,4,3,3,2,2,2,2,2,4,3,5,4,4,4,4,4,2,3,1,1,4,4,4,1,4,4,4,54,Male,White/Caucasian,3,Married,Out of work and looking for work,8,Agnostic,2,5,5,5,5,5,5,5,5,5,5,5,4,2,4,1,1,3,1,4,1,1,4,4,4,1,2,4,5,3,3,4,3,3,3.5,4,3.5,3,2,4,3,3.5,1.5,2.5,3.5,3,2,2,2.5,3.5,3,2.5,4,2,5,5,1,3,2.5,4.5,2,6,5.5,1,3.5,5,4.5,4,5.5,4,3,4,2,2.5,1.5,1.5,5,3,2,3.5,5,5,4,3.5,3,4,3.5,2,3,4,1.5,4,4,3,2.5,4.666666667,4,2,3.333333333,4,4,5,4.333333333,1,1,5,5,4.666666667,1,1,4.666666667,1,1,1,1,4,4.666666667,3,3.666666667,1,3.666666667,4.666666667,5.666666667,5.666666667,5.666666667,6,6,5.666666667,4.333333333,3.666666667,4,6,5.333333333,6,6,5,3.666666667,5.333333333,6,3.666666667,4.666666667,4.333333333,4.666666667,5.333333333,6,5.666666667,5,6,4,4,3.333333333,4,5.333333333,1,4,5,3.333333333,4.333333333,4,2.333333333,1.666666667,6,11.33333333,4,3.333333333,6,-0.666666667,11,14.33333333,6.5,12.66666667,12,20,8,20,16,15,17,10,5,1,3,0,0,1,0,4,1,0,0,0,2,1,0,2,2,1,1,1
150,20180824-123136_997,emo,log,cre,task,task,log,log,cre,cre,cre,0,1,A1TVMLHDO5GCXX,0,0,0,1,A2JFAVQOW2D2VT,0.15,1,27,Male,White/Caucasian,5,Never been married,Self-employed,6,Atheist,4,4,4,4,4,4,5,4,4,4,4,3,4,2,3,2,2,2,2,3,1,1,1,1,2,1,3,3,3,32,Male,White/Caucasian,4,Married,Self-employed,6,Atheist,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,1,4,1,1,3,3,3,1,2,2,2,4,4,2,4,5,4,4,4,2,2,4,3,4,2,1,4,2,2,2,1,3,4,3,4,2,5,5,1,2,5,5,2,6,6,1,5,6,6,2,6,4,3,3,5,4,4,1,6,3,1,4,5,5,4,5,4,2,4,4,2,4,5,4,5,2,2,5,5,4.5,2,2.5,4,4,4,2,1.5,4,4,4,3,2.5,4,4,4,1.5,3,3.5,4,2,2.5,2.5,4,4,3,3.5,4,3.5,3.5,4.5,4.5,3,3.5,4.5,5,5.5,5.5,4.5,4,4.5,2,4.5,4.5,2.5,4.5,3,4.5,4.5,4.5,4,4,3.5,4,4,3,2,2,2.5,3,4,4,3.5,4,8,8.5,1,10,3,8.5,12,9.5,8,6.5,16,16,17,16,12,16,11,12,1,4,3,0,2,0,0,7,0,0,0,0,3,0,0,0,1,1,1,1
156,20180824-130244_446,emo,emo,emo,cre,log,task,other,pro,task,other,0,1,A6WDKLTHVVQLZ,0,0,0,1,A1U3DBBCXKWMZC,0.2,1,36,Male,White/Caucasian,3,Married,Self-employed,2,Protestant (Baptist Methodist Non-denominational etc.),4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,1,1,1,1,3,1,1,4,4,3,1,5,5,5,40,Female,White/Caucasian,6,Married,Employed for wages,11,Protestant (Baptist Methodist Non-denominational etc.),4,4,3,3,3,3,3,3,3,3,5,4,4,4,4,1,1,1,1,3,1,1,2,2,2,1,5,5,5,5,5,5,1,1,5,5,5,1,1,5,5,5,1,1,5,1,1,1,1,5,5,5,5,1,6,6,3,3,4,6,3,6,6,5,6,6,6,5,6,6,5,4,4,4,2,5,6,5,5,6,6,6,5,5,5,4,4,1,4,4,2,4,4,2,2,4,4,2,2,3,5,5,4,1,1,5,5,5,1,1,2,4,4,1,3,4,5,1,4,2,6,5,3,2,2,6,1,6,5,4,3,6,6,4,6,5,4,3,5,4,4,1,4,3,2,5,6,5,3,1,3,3,6,2,3,5,4,4,3,2,4,13,12,13,5,-1,10,19,12,13,13,20,12,20,12,12,16,7,7,3,1,1,1,2,2,0,1,1,0,0,1,4,2,0,1,1,1,1,1
260,20180826-060146_791,emo,emo,cre,emo,emo,log,other,emo,other,other,0,1,A3N4PX2QVLOZGQ,0,0,0,1,A2QJP5BZ7B523H,0,0,24,Female,White/Caucasian,3,Living with partner,Out of work and looking for work,4,Agnostic,2,5,5,5,5,5,5,3,4,4,4,4,4,2,3,1,1,1,1,1,1,1,4,5,5,1,1,2,3,66,Male,White/Caucasian,4,Married,Retired,2,Atheist,3,4,3,3,3,3,4,3,3,3,4,3,2,2,2,2,2,2,2,2,1,1,4,3,3,1,1,1,1,4,4,1.5,4,4.5,4.5,5,5,2,1.5,5,4,5,1.5,1,2,4,4.5,3,2.5,5,4.5,4,4.5,1,4.5,5.5,2,4.5,5.5,5,2,5.5,5.5,1,4.5,4.5,3,4,5,5,1,1,6,5,5,4,5.5,4.5,1.5,5.5,3.5,6,6,3,6,3,5.5,1,4.5,4.5,1.5,5,4.5,5,1.5,3,2.5,2,3.5,4,2.5,1.5,2,4,4,4.5,4,4,1.5,2,4,1.5,2,2,2,4,4,4,4,1.5,1.5,2,2,2,2,2,2,2,2.5,1,2,2.5,3.5,4,5,4,3,4,2,2,5,1,5,3,2.5,2,2.5,5,4.5,2.5,3,2.5,4.5,2,4,5,2,4,4.5,1,1,11,-2,1,0,12,3.5,17,14.5,11.5,9,20,12,16,13,13,9,5,10,5,1,1,0,0,3,6,3,0,1,0,1,2,0,0,0,1,1,1,1
366,20180828-150259_573,emo,other,other,other,emo,task,pro,emo,other,other,0,1,AUSX67YB5MXQX,0,0.05,1,1,A2OBW9OO2S40T3,0.05,1,48,Male,White/Caucasian,4,Married,Employed for wages,11,Other,5,1,1,1,1,3,3,1,1,1,5,1,1,1,1,1,3,1,3,1,1,1,3,1,1,1,5,5,5,38,Male,White/Caucasian,3,Never been married,Self-employed,3,Orthodox (Greek Russian or some other Orthodox church),3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,2,1,1,1,4,1,1,2,3,3,1,4,4,4,5,5,5,1,5,5,5,5,1,1,5,3,5,1,1,3,2,1,1,1,4,5,3,4,1,6,6,1,1,1,6,1,6,6,1,6,6,6,1,6,3,2,2,5,1,1,3,6,1,1,6,6,6,5,4,4,1,1,1,5,5,1,5,5,4,1,3.222222222,3.888888889,2.888888889,2.111111111,3.666666667,4,4,4,2,2,3.888888889,4,4,2.111111111,1.777777778,2.444444444,3.555555556,3.555555556,3,3.444444444,4.333333333,3.777777778,2.888888889,3.888888889,2.222222222,4.444444444,4.888888889,2.888888889,3.777777778,3.222222222,4.777777778,2.111111111,4.777777778,5,2.888888889,2.777777778,5.222222222,5.111111111,4.333333333,5.111111111,5.111111111,2,3.555555556,1.888888889,1.888888889,1,2,4.222222222,2.666666667,2.444444444,4.666666667,5,5.111111111,4.555555556,4.666666667,4.222222222,4.555555556,3.555555556,1.666666667,2.666666667,4.444444444,2.666666667,3.888888889,3.555555556,3.777777778,3,13,8,9,4.222222222,2,11.11111111,15,12.66666667,11,8,6,13,6,15,4,15,9,9,3,0,0,1,1,5,1,2,0,0,0,0,1,1,0,5,1,1,6,2
372,20180828-151016_679,emo,cre,emo,emo,emo,emo,emo,task,task,emo,0,1,ADKKDK6P4MS1Z,0,0,0,1,A2TKHXY755FAM,0.25,1,38,Male,Hispanic/Latino,2,Married,Employed for wages,5,Roman Catholic,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4,1,1,5,5,5,1,4,5,4,42,Female,Other,4,Married,Employed for wages,8,Protestant (Baptist Methodist Non-denominational etc.),2,5,4,4,4,4,5,4,4,4,5,5,4,4,4,2,2,2,2,4,1,1,2,2,3,1,3,3,3,4,4,4,2,3,4,5,5,1,1,3,3,4,2,2,4,2,3,2,3,5,4,2,4,3,6,6,3,4,6,6,2,6,6,5,3,6,6,5,6,4,4,1,5,2,2,5,6,2,5,6,6,5,4,4,5,4,5,2,4,5,5,4,4,3,3,4.8,4,1.8,4,4.4,4.4,4.4,4.4,2.2,2.2,5,5,5,1,1,4,1.6,1.8,1.8,2,3,4,2.4,3.6,2.2,4.6,4.6,3.8,4,5,4.8,4,5,5,5,3.6,5,5,5,5,5,4,3.8,6,3.8,5,4.8,3,4.6,4.8,4.8,4.6,3.2,2,2.4,3.2,2,3.6,2,4,4,3,4,4,3.4,3.4,12,8.8,7,2.2,6,3.2,12,10.8,6,13,20,16,20,17,20,17,8,12,7,1,0,0,2,0,0,1,0,0,0,0,7,0,0,2,1,1,4,3
417,20180828-191949_798,emo,emo,emo,emo,emo,other,other,cre,log,other,0,1,A3P0P0DRSOX52W,0,0.3,1,1,A3JPRHZ42FNY1S,0,0,54,Male,White/Caucasian,6,Married,Employed for wages,6,Mormon (Church of Jesus Christ of Latter-day Saints or LDS),2,4,3,3,3,3,3,3,3,3,5,3,4,2,3,4,2,2,2,2,1,1,2,1,2,1,4,4,4,32,Male,Native American/American Indian,2,Living with partner,Employed for wages,6,Protestant (Baptist Methodist Non-denominational etc.),4,3,4,4,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4.25,3.75,2.75,3,3.75,4.5,4.75,4.25,2,1.5,3.5,3.5,2.75,3.5,2.25,3.75,3.25,2.5,2,2.75,3,3.5,3,4,2,5,4.75,4.75,4.75,5,5.25,2.5,5.25,4.75,6,4.25,5.25,5,5,5.75,4.75,3.5,5,2.75,5,5.25,5.75,5.25,4,3.75,5,4.5,4.5,3.75,2.75,4.25,3.5,4.5,2.25,3,3.75,3.75,4,4.25,3,3.5,3,2.5,2.5,2.666666667,2.833333333,2.666666667,2.5,3,2.5,2.833333333,2.666666667,3.5,3.833333333,2.166666667,2.666666667,3.166666667,3,2.833333333,2.833333333,2.833333333,3,3,3.166666667,2.5,3.333333333,3.5,3.5,4,3.333333333,2.833333333,2.833333333,3,3.333333333,3,2.666666667,3.5,3.5,3,3.166666667,2.833333333,3,3.5,3.333333333,2.333333333,3.166666667,3.333333333,2.166666667,3.666666667,5,4.5,4.833333333,5,5.166666667,4.833333333,5,4.666666667,4,3,2.833333333,3.166666667,2.833333333,2.666666667,3.166666667,3,3.333333333,2.333333333,10,2.833333333,4,2.5,6.75,8.333333333,11.5,8.333333333,4,5.166666667,12,16,12,14,12,8,12,10,5,1,1,0,0,3,0,1,1,0,0,0,4,1,0,3,2,2,3,1
422,20180828-192522_122,emo,other,cre,pro,log,task,other,task,task,other,0,1,A2I9OGMLLZ7V9P,0,0.25,1,1,A3CCF8NBJTJUCB,0.25,1,28,Female,White/Caucasian,4,Married,Employed for wages,8,Protestant (Baptist Methodist Non-denominational etc.),2,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,1,1,1,2,1,1,3,5,4,1,5,4,4,37,Female,White/Caucasian,6,Married,Employed for wages,11,Protestant (Baptist Methodist Non-denominational etc.),4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,1,3,1,1,3,1,1,1,1,1,1,3,2,2,4,2,1,2,4,4,4,5,1,1,4,4,4,3,1,5,2,4,2,2,4,5,4,4,2,6,6,4,4,5,5,2,6,6,6,3,6,3,5,6,3,2,5,3,3,2,5,4,5,5,6,4,3,4,4,5,3,5,2,3,5,3,4,4,2,3,2,2,1,4,5,3,4,3,3,1,4,5,3,1,1,1,5,5,4,4,3,2,2,3,4,4,4,2,3,3,4,4,5,3,1,2,5,5,5,6,2,2,1,2,2,5,2,4,5,5,5,5,2,2,2,1,1,5,3,2,5,3,4,4,4,4,11,6,1,-4,5,17,15,6,8,10,20,16,20,16,16,15,7,9,1,1,1,1,3,4,0,2,6,0,0,0,2,0,0,0,1,1,1,1
424,20180828-192744_15,emo,cre,cre,emo,emo,other,pro,task,task,other,0,1,A3SUZUCOGGN37Z,0,0,0,1,A295P5SW3N83P6,0,0,41,Female,Black/African American,6,Divorced,Employed for wages,6,Protestant (Baptist Methodist Non-denominational etc.),3,5,4,4,3,4,5,5,5,4,5,4,5,4,4,1,1,1,1,1,1,1,3,4,4,1,3,4,4,41,Female,White/Caucasian,4,Never been married,Employed for wages,9,Agnostic,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,4,4,2,5,1,1,1,2,2,1,3,3,3,5,5,3,2,2,5,5,5,1,1,5,5,3,1,1,5,2,2,1,1,3,5,4,5,1,6,6,4,5,4,6,3,6,6,4,5,6,6,6,6,6,3,5,6,3,5,3,6,4,3,5,6,4,4,3,2,3,5,1,3,4,4,5,5,3,3,4.75,4.25,4.25,1.5,3.25,3.5,4.75,4.5,2.25,1,4.75,4.75,4.75,2.5,1.25,3,3.25,4.25,3.75,3,2.25,5,4,2.5,2.5,6,6,3,5.25,4.25,5.75,3.75,6,6,2.25,5.5,5.75,6,6,6,5,3.25,1,5.5,3,3.75,2.25,5.75,5.5,3.25,6,6,5.75,3.25,3.75,3.25,3,5.5,1.5,2.25,5,2,5,5,2.25,2.25,13,9.5,9,8.5,1,11.25,16,11.25,11,10.5,15,12,19,12,17,14,5,16,3,2,0,1,2,2,1,1,1,0,0,1,4,0,0,2,1,1,2,2
444,20180828-220218_164,emo,cre,cre,emo,cre,cre,cre,cre,pro,other,0,1,A2DNLXU3BZWO1T,0,0,0,1,A7SXWHGK8B40R,0,0,21,Female,White/Caucasian,2,Living with partner,Employed for wages,4,Other,3,4,2,4,4,4,4,4,3,2,4,2,2,3,2,4,3,3,3,4,3,1,1,1,2,3,1,1,1,24,Male,White/Caucasian,4,Never been married,Employed for wages,8,Atheist,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,3,3,4,4,5,5,5,5,2,5,5,4,3,3,4,4,4,4,4,5,5,4,5,3,6,5,4,5,5,5,4,6,5,5,6,6,5,5,5,6,6,6,6,5,5,4,5,4,2,5,5,4,6,3,5,4,6,2,2,2,2,4,4,5,4,4.75,4.75,4.75,1,2,4.75,4.75,4.75,3.75,2.75,5,4.5,4.5,2.75,2.75,4.5,1.75,1.75,1.75,1.75,2.75,2.5,2.5,3.5,1.75,4.75,4.75,5,5.25,5.25,4.5,5,4,4.75,1,4.25,4,5,5,5,5,5,5.25,2,5,5,4,5,4.25,4.5,3.5,3.5,3.5,3.5,4.25,4.25,4.25,4.5,2,2,2,2,4,4,3.5,3.5,8,7.75,2,11.25,12,2.5,16,9.5,8,8.5,14,12,13,12,9,16,17,10,2,6,0,1,0,1,0,5,1,0,0,0,1,0,0,3,1,1,2,1
469,20180829-055552_578,emo,log,cre,task,other,emo,emo,log,log,log,0,1,A1RH3X41J9J05R,0,0,0,1,A3FTR5MN7ZLS8M,0,0,52,Male,White/Caucasian,4,Married,Employed for wages,11,Agnostic,5,3,3,4,4,3,3,3,3,3,4,4,3,2,2,2,3,2,2,2,1,1,3,4,3,1,3,3,3,29,Female,White/Caucasian,4,Married,Employed for wages,6,Atheist,4,2,3,3,3,3,2,3,3,2,4,2,2,2,3,4,4,4,2,4,2,1,1,1,1,1,3,3,3,5,4.5,3.5,2,2,4.5,5,4.5,1.5,1,5,3.5,4,1,1,4,2,2,1,1,3.5,4,4.5,4,1,5.5,5,1.5,1,1,5,1.5,6,6,1,3.5,6,6,2.5,6,6,2,1.5,5.5,2.5,2,1,5,3,2.5,6,6,4.5,3.5,3,3.5,4,4.5,1.5,4,5,5,3.5,4,3.5,3,2,2,2,4,4,3,3,3,3,3,4,4.666666667,4,1.333333333,2,3,4,4,4,4,4,4,4,4,2.666666667,5,5,2,3,2,5,2,5,5,1,3,4.666666667,5,4,5,4.666666667,2,2,2,2,3,2,5,3,4,3,2,2,3,3.333333333,2.666666667,3,2,2,4,4,2,4,4,2.666666667,2,11.5,3,9,-2,2,13,15,13.33333333,10.5,9.333333333,14,12,12,10,11,9,11,18,3,1,4,0,1,2,1,0,1,1,0,0,7,0,0,0,2,2,2,2
